sentimen,Tweet,sentimen-text,Target
 2,wanita yang paling malang di dunia adalah wanita yang tersalah pilih suami isteri adalah cerminan suami cantik suamimu cant ,Negative,Positive
 2,me doin math paper 1 hshshshshshsh bodo asal takama dgn jawapan aku hshshssh 5 minit lagi tembak ,Negative,Negative
 2,gila punya perempuan gaduhikit sampai 7 bulan tak tegur lelaki gaduh hari ni esok dah stable sesama ,Negative,Negative
 1,kalau kamu mau dihormati harus mau menghormati,Positive,Positive
 2,makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku dah tak kuat semb ,Negative,Negative
 1,tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini ,Positive,Negative
 1,bibi adikku si cantik suka banget liatnya kalau kamu lagi seneng enggak tau kenapa jadi ikutan seneng bi pos ,Positive,Positive
 2,jangan jadi kompor kamu ya jeffan,Negative,Negative
 1,omg kamu harus melihat ini bigolive ,Positive,Negative
 2,orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz ,Negative,Positive
 1,jadi dirimu sendiri agar ketika seseorang mencintai kamu tak perlu takut jika dia akan temukan dirimu bukan orang ,Positive,Negative
 2,iya sabar aku mah tiap ada jeno selalu melesat mengetag amu ,Negative,Positive
 2,omg batuk aku berdarah adakah ini jumaat yang terakhir ,Negative,Negative
 1,saat ditanya aku hanya diam dan mengangguk kutahu bahwa dia orang yang baik,Positive,Positive
 1,aku pake himalaya neem mask juga gini kok bagus emg matull banget,Positive,Positive
 2,kepada perempuan yang tak tau leher tu juga aurat tak kisah lah kau pakai turban ke serban ke lantak kau parents kau t ,Negative,Negative
 2,lah aku tuh susaaah orang dikit dikit kepikiran makanya anaknya gampang pusing dan stress sendiri ,Negative,Negative
 2,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,Negative,Negative
 2,dulu waktu kecil gue mikirnya gapapa sekarang jelek item dekil buluk nanti gedenya cakep sampe sekarang sudah 13928174 ,Negative,Negative
 1,idola aku banget itu mba ,Positive,Positive
 2,tu ah pelik aku sunyi sepi damak haritu ,Negative,Negative
 2,kenapa ya mimpi itu langsung lupa padahal semalem aku mimpi dapetin kamu tapi sekarang lupa caranya recehkantwiter,Negative,Negative
 2,mau nangis banget aku pas ngerujuk pasien pake ambulance ni mas gojeknya bantuin bukain jalan padahal beliau bukan k ,Negative,Negative
 2,aku pun tak faham dengan diri aku ,Negative,Negative
 1,hahahaha pastu buat2 terkejut eh dah sampai aku tumbokk muka kau kang ,Positive,Negative
 1,karena presentasi hari ini lancar aku mau bikin ga album only wanna ver one ver aja no need to follow tapi ,Positive,Positive
 2,aku malas nak ikut perkembangan latest iphone xs tu hahahahah sebab tak check pun kalau korang boleh tolong bagitahu kat ,Negative,Negative
 2,kenapa aku jenis reply chat orang cepat nak mampus sedangkan orang tu lepas sejam baru dia reply and aku boleh terima de ,Negative,Negative
 2,misalnya ada suatu kondisi dmn aku bnran lg galauin km trus km ngetweet galau seolah2 itu buat aku padahal buat org lain itu babi namanya ,Negative,Negative
 1,shopee kamu apaa mau dong,Positive,Negative
 1,laksanakan segala apa yang diwajibkan allah niscaya kamu menjadi orang yang paling bertakwa hr ath thabrani ,Positive,Positive
 2,udah kyk gini aja msh di bilang males temen temen aku baju sm celana dalam nya aja juga masih di cuciin emak nya ,Negative,Negative
 2,mbaknya takut kamu marahin makanya bilang enggak kalo mau coba tanya sekali lagi tapi pas kondisin ,Negative,Negative
 2,crush kalau nak tegur ye tegur kalau suka cakap suka daripada kau dok tengok je story aku tak pernah missebb ,Negative,Positive
 1,aku cinta segala promo grabfood karena bisa makan burger mcd seharga ayam geprek ,Positive,Positive
 1,aku mungkin luaran nampak happy go lucky sentiasa tersenyum dgn orang sekeliling friendly gelak ketawa sampai berdekah a ,Positive,Positive
 1,aku cinta w1 ,Positive,Positive
 2,aku menyerah bapa,Negative,Negative
 2,apa yang kau nak sebelum meninggal aku nak sebelum aku mati allah ampunkan semua dosa aku dan matikan aku dalam kead ,Negative,Negative
 1,done watching dilan 1990 2018 dari start movie sampai habis aku senyum sorang nasib baik tengok sengsorang kalau ram ,Positive,Negative
 2,kamu salah wiwin manusia itu buat teman hidup bukan utk berharap berharap itu sm tuhan alloh ,Negative,Negative
 2,nggak pengen suudzon dulu kupernah gini yg ilang charm gitu kejadiannya sama persis aku pamerin ,Negative,Negative
 2,kenapala aku taktegur kau tadi hm padahal niat aku nak tegur kau nak jadi kawan macam sebelum sebelum nierious aku t ,Negative,Negative
 2,walaupun diri ini dah hancur percayalah aku cuba juga untuk membahagiakan orang sekeliling tanpa putus asa itu sahaja ya ,Negative,Negative
 1,aku mau ,Positive,Positive
 2,semua masa lalu biarlah berlalu tapi rasa syg aku ke kamu gak bakal bisa berlalu gitu aja aku syg kamu ' ,Negative,Negative
 2,bukan coba kamu lawan sakitnya bukan coba kamu tentang sakitnya bukan coba kamu lupain sakitnya tapi coba terbiasa dengan ,Negative,Positive
 2,jika engkau tdk mentakdirkan dia untuk ku aku sangat berterimakasih engkau sempat mempertemukanku kembali dgn cipt ,Negative,Positive
 2,kadang meskipun kamu yakin telah melupakannya sebuah lagu mampu membawa semua kenangan indah bersamanya kembali ke pikiranmu kmutiara,Negative,Positive
 1,tampil sndiri atasi diri hadapi audiens lakuin perlihatkan ssuatu 'skill mu sampai tuntas buat smua kagum p ,Positive,Positive
 2,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang ,Negative,Negative
 1,ciri lelaki idaman aku um kena sama macam ayah aku ,Positive,Negative
 2,sumpah annoying weh tu masalah kau jgn expect aku selesaikan ,Negative,Negative
 2,aku ni malas nak layan orang kang tak layan kang kesian dh layan kang fake hope haiyo apa nak buat ni ,Negative,Negative
 1,sikaaat ajaaaa sissst sikat bajunya celananya biar bersih wkwk canda ding kalo bisa ga usah sikat sii ,Positive,Negative
 1,shuhuaama sih tapi aku suka banget sama makanan jepang ,Positive,Positive
 2,untuk kawan kawan aku yang hisap rokok tu aku sayang korang kalau boleh berhenti ye guys mungkin bukan sekarang kena ,Negative,Positive
 1,aku pun nak cari rezeki halal bisnes online dgn cara betul takkan aku nak menipu orang pulak kan,Positive,Negative
 1,cepet sembuh sayaang semoga kamu selalu diberikan kekuatan dan allah angkat sakit kamu segera yaaemangat a ,Positive,Positive
 2,bangsad ditampar gue,Negative,Negative
 2,malu betul aku ada junior macam asheeq ali ni yihhhhhhh ,Negative,Negative
 1,walaupun maut memisahkan kita aku akan selalu mencintaimu menyayangimu setulus hatiku fellychibi ,Positive,Positive
 2,kadang kamu harus berhenti peduli pada seseorang bukan karena membencinya tapi karena dia tak pernah menyadari pedulimu katabijak,Negative,Negative
 2,bengis nya perempuan tu tengok aku haha xhabis2 dendam nya kali dengan aku ni semenjak asasi lagi ,Negative,Negative
 1,hari ini aku akan berusaha untuk bersinar dengan awan berjalan beriringan dan tetap memuja kebebasan hanyutku,Positive,Negative
 1,rindu kau tapi takpa la aku doa dari jauh jeemoga tuhan beri perlindungan pada kau ,Positive,Negative
 2,sorry la aku mmg turn off betul kalau perempuan pegi clubbing niebab aku sendiri tak pergi kau bayangkan sempit sem ,Negative,Negative
 1,mantap nih kata kata pak jokowi aku dan para avengers lain siap untuk mencegah thanos menghapus setengah dari populasi j ,Positive,Positive
 2,bodo betul aku terhibur bodo ada member ceni ,Negative,Negative
 1,anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaah ,Positive,Negative
 1,muhammad q muhammad q dengarkanlah seruanku aku rindu ak rindu padamu muhammad q,Positive,Positive
 2,sakit hati bile dengar kisah orang kalau kene sendiri entoh le memang aku ngamuk ,Negative,Negative
 2,aku hanya ingin melindungi mereka walau harus menjalani penderitaan seperti apapun nagato chapter 373 quoteui,Negative,Negative
 2,orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz ,Negative,Positive
 2,bukankah pantas jika aku merasa berbeda ,Negative,Negative
 1,jangan lupa sholat jumat ya sayang aku jelek ya sayang ' bukan biar ganteng ih itu kan wajib oh kirain makasi ,Positive,Negative
 2,jika aku memanggilmu jangan tanya kenapa aku memanggilmu itu karena aku rindu tanyalah hatimu rindukah kamu denganku aseq ,Negative,Positive
 1,seseorang yang bisa membuat aku sering merasa khawatir berarti dialah orang yang sangat aku sayang ,Positive,Positive
 1,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit ,Positive,Negative
 1,ini yg namanya indonesia ini yg namanya toleransi ini yg namanya bhineka tunggal ika peti jenasah pendeta oma palese man ,Positive,Positive
 1,aku mauuuu,Positive,Negative
 2,aku dan kisah miskinku ,Negative,Negative
 2,aku nak tengok sampai bila nak berlakon bodoh tu ,Negative,Negative
 2,amit amit ya allah ,Negative,Negative
 1,omg kamu harus melihat ini bigolive gt pada kemana aja ,Positive,Negative
 1,wahai manusia yang aku suka terima kasih sebab support aku serta ada ketika aku gembira dan duka kau memang anugerah ,Positive,Positive
 2,mu gemes banget adminnya aku ga jadi marah ,Negative,Negative
 2,11 pernah hehehehe 12 pernah sekali dan aku menyesal ,Negative,Negative
 1,lipstik yg creamy kaya purbasari gt bibir aku kering kalo pake itu enak ga keliatan kering,Positive,Positive
 1,gemes kan aku oenyoe getoh cmiew jfclosedday,Positive,Positive
 2,kita kamu aja please gausah ajak ajak aku ,Negative,Negative
 1,gua dinyanyiin raisa lagunya mantan terindah ya allah aku terharu ,Positive,Positive
 1,kenangan yg paling indah itu ialah ketika pertama kali kau cumbui aku sayang ,Positive,Positive
 2,kecewa jugak bila kita ingat dia dah tidur sebab tak reply whatsapp tiba tiba tengok dekat ig boleh pulak reply dm orang ,Negative,Negative
 2,kamu serupa kegagalan mematahkan tapi ingin terus kuperjuangkan ,Negative,Negative
 2,sorry wehebabusahkan kau aku tak suka bila kawan aku cakap macam ni kau kawan aku jadi tolong kau tu dah macam tan ,Negative,Negative
 2,aku kalau dah sakit hati dengan orang muka orang tu pun aku malas tengok ,Negative,Negative
 2,askmf aku mau kasih kado earphone ke gebetanku tpi gagal jd pacar terus kutilisin dengerin apa yg kamu mau denger jang ,Negative,Negative
 2,ngetik kangen aku tuh hapus gamau tag orang nya ldmstro ,Negative,Negative
 2,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa ,Negative,Negative
 1,teruntuk kak rehan kamu yg sabar ya ,Positive,Positive
 1,terus dia sharing2 gitu deh sama ngasih motivasi gua sama ngasih petuah2 kalo kamu pgn kaya amp nikah di umur sebelum 30th ,Positive,Positive
 1,belum start kuliah aku dah ponteng haih apa nak jadi hahaha,Positive,Negative
 2,dan aku hanyalah penyelam dungu yang mengira ngira lautmu tak berombak harus kusebut apa rasa ini kosong dan rendah gair ,Negative,Negative
 1,iya tp ada lagi tempat paling indah aku mau tunjukkin ke km dgn semangataya bawa dia ke tempat titik favorit saya ,Positive,Positive
 2,ada masa dimana namamu adalah yang paling aku tungguedangkang sekarang datang masa dimana sebisa mungkin aku berharap tak me ,Negative,Negative
 1,kalau aku berjuang trus sampai akhir aku pasti akan menemukan jalannya matsukaze tenma ,Positive,Positive
 2,kamu tu cari kebenaran atau justru pembenaran you do you i'll do me ,Negative,Negative
 1,selamat berehat mr acappan antara pelawak aku suka amp evergreen selainathiya ,Positive,Positive
 2,ni kalau aku rt org beranak mahu efa tk nk beranak kalau tgk ,Negative,Negative
 1,senang senang je aku diperbodohkan duluob sob ,Positive,Positive
 1,ngantuk aku tidur dulu jangan khawatir besok aku masih mencintaimu seperti biasanya besok aku masih ngirim pesan seperti ,Positive,Negative
 1,karena aku percaya allah sdh mentakd ,Positive,Positive
 2,tipu je aku tak pakai makeup ,Negative,Negative
 2,lagi duit aku dh habis aku lagi lost sia hais ,Negative,Negative
 2,aku percaya kamu sebaliknya yang ga kupercayai adalah diriku sendiri aku ga punya kepercayaan diri untuk mencintai celty,Negative,Negative
 2,aku baru liat trailernya kok gak mudeng otak kiriku ya ,Negative,Negative
 2,kamu aja ga cape ngeboong aku juga ga cape diboongin,Negative,Negative
 1,jeffan jangan manis manis banget donk nanti aku diabetes ,Positive,Negative
 2,sorry la aku mmg turn off betul kalau perempuan pegi clubbing niebab aku sendiri tak pergi kau bayangkan sempit sem ,Negative,Negative
 2,jika sudah tercekam tak ada yg harus diucapkan diamlah jangan berfikir aku harus bicara apa ya nanti bisa2 nafsu yg bica ,Negative,Negative
 1,aku cinta diriku sendiri ,Positive,Positive
 2,aku penatlah nak berpura pura suka pada orang yang menyusahkan aku bila kau susah aku tak kisah pun orang lain nak tolo ,Negative,Negative
 2,aku dah pms tok ada jak nebiak nak ngaco emosi aku koh aku eh siku dah burok lebam entam planking jakjak carik la ,Negative,Negative
 2,hai masih ingat akueseorang yang kau buat terbang tinggi lalu dengan kejamnya kau hempaskan aku begitu saja mengata ,Negative,Negative
 1,gigih nau,Positive,Positive
 2,denganmu aku bahagia hidupku di penuhi warna namun jika kamu tinggalkan aku mungkin yang terisa hanya derita yang hanya ak 1000katasayang,Negative,Positive
