NAMA_BARANG,NAMA_BARANG_NO_SPCHAR,JML_BARANG,KRITERIA_BARANG
Minyak Sawit ( CPO ) ,MINYAK SAWIT  CPO,5487,CPO
PENJUALAN 5.690 KG CPO,PENJUALAN 5 690 KG CPO,5690,CPO
TBS PER 16-31 MEI 2021 (TT 2009),TBS PER 16 31 MEI 2021 TT 2009,5805,TBS
CPO NO. C02/CASS-TN/XI/XX,CPO NO C02 CASS TN XI 2021 KP PO 9100082413,5850,CPO
Ongkos Angkut TBS DIV 4,ONGKOS ANGKUT TBS DIV 4,5880,
CRUDE PALM OIL,CRUDE PALM OIL,6430,CPO
"CRUDE PALM OIL (FFA  5% max, M&I  0.5% max)",CRUDE PALM OIL FFA  5 MAX M I  0 5 MAX,7000,CPO
PENJUALAN 7.100 KG CPO,PENJUALAN 7 100 KG CPO,7100,CPO
Palm Kernel (PK),PALM KERNEL PK,7130,
PALM KERNEL (INTI SAWIT),PALM KERNEL INTI SAWIT,7194,
CPO,CPO,7500,CPO
CPO KONTRAK JUAL BELI NO.C02/XX,CPO KONTRAK JUAL BELI NO C02 MLA IMT V 2021,7500,CPO
CRUDE PALM OIL,CRUDE PALM OIL,7540,CPO
PALM KERNEL,PALM KERNEL,7550,
TBS Periode 07 Maret 2021,TBS PERIODE 07 MARET 2021,8079.100098,TBS
Penjualan CPO (015/CPO/CC,PENJUALAN CPO 015 CPO PNNI IMT II 2021,8120,CPO
CRUDE PALM OIL,CRUDE PALM OIL,8340,CPO
CPO NO. C01/CASS-TN/X/XXX,CPO NO C01 CASS TN X 2021 KP PO 9100081340,8500,CPO
PK (PALM KERNEL),PK PALM KERNEL,8620,
CRUDE PALM OIL (CPO) SESUAI KONTRAK NO. SO.001.2/XXXXX DAN INVOICE NO. INV.017.1/XXXXX,CRUDE PALM OIL CPO SESUAI KONTRAK NO SO 001 2 10213 06 2021 22 152 DAN INVOICE NO INV 017 1 10213 07 2021 22 137,8740,CPO
"PK/Palm Kernel, No.Kontrak 043/XXXX",PK PALM KERNEL NO KONTRAK 043 PM C PK III 2021,8830,
"CPO/Crude Palm Oil, No.Kontrak 169/XXXXX",CPO CRUDE PALM OIL NO KONTRAK 169 PM C CPO X 2021,8970,CPO
PALM KERNEL ,PALM KERNEL,9005,
Ongkos Angkut TBS DIV 3,ONGKOS ANGKUT TBS DIV 3,9060,
CRUDE PALM OIL,CRUDE PALM OIL,9240,CPO
CRUDE PALM OIL,CRUDE PALM OIL,9729,CPO
Crude Palm Oil (CPO) 9.990 Kg Kontrak 562/CPO/XXXXX,CRUDE PALM OIL CPO 9 990 KG KONTRAK 562 CPO SMN IMT IX 2021 PO 9100080576,9990,CPO
CPO KONTRAK JUAL BELI NO.C04/XXXX,CPO KONTRAK JUAL BELI NO C04 MLA IMT II 2021,10000,CPO
CPO KONTRAK JUAL BELI NO.C05/XXXXX,CPO KONTRAK JUAL BELI NO C05 MLA IMT X 2021,10000,CPO
Crude Palm Oil (CPO) 10.000 Kg Kontrak 574/CPO/XXXXX,CRUDE PALM OIL CPO 10 000 KG KONTRAK 574 CPO SMN IMT X 2021 PO 9100081572,10000,CPO
Crude Palm Oil (CPO) 10.000 Kg Kontrak 587/CPO/XXXX,CRUDE PALM OIL CPO 10 000 KG KONTRAK 587 CPO SMN IMT XI 2021 PO 9100082842,10000,CPO
Ongkos Angkut TBS DIV 2,ONGKOS ANGKUT TBS DIV 2,10260,
CPO,CPO,10490,CPO
Ongkos Angkut TBS DIV 3,ONGKOS ANGKUT TBS DIV 3,10640,
CRUDE PALM OIL HS CODE 1511.10.00,CRUDE PALM OIL HS CODE 1511 10 00,11128,CPO
CRUDE PALM OIL,CRUDE PALM OIL,11480,CPO
PALM KERNEL,PALM KERNEL,12180,
Ongkos Angkut TBS DIV 1,ONGKOS ANGKUT TBS DIV 1,12260,
CRUDE PALM OIL,CRUDE PALM OIL,12370,CPO
CPO KONTRAK JUAL BELI NO.C05/XXXXX,CPO KONTRAK JUAL BELI NO C05 MLA IMT VII 2021,12500,CPO
CRUDE PALM OIL,CRUDE PALM OIL,12940,CPO
TBS PERIODE 31 MARET 2021,TBS PERIODE 31 MARET 2021,13048.59961,TBS
Palm Kernel,PALM KERNEL,13110,
"CPO/Crude Palm Oil, No.Kontrak 108/PM/XXXXXXX",CPO CRUDE PALM OIL NO KONTRAK 108 PM C CPO VII 2021,13430,CPO
CRUDE PALM OIL,CRUDE PALM OIL,14160,CPO
TBS PERIODE 10 AGUSTUS 2021,TBS PERIODE 10 AGUSTUS 2021,14529.90039,TBS
PENJUALAN CRUDE PALM OIL,PENJUALAN CRUDE PALM OIL,14600,CPO
CRUDE PALM OIL,CRUDE PALM OIL,14660,CPO
CRUDE PALM OIL,CRUDE PALM OIL,14900,CPO
Palm Kernel,PALM KERNEL,15174,
BENIH KELAPA SAWIT-DAMIMAS,BENIH KELAPA SAWIT DAMIMAS,15238,
CRUDE PALM OIL,CRUDE PALM OIL,15860,CPO
"CRUDE PALM OIL (FFA  5% max, M&I  0.5% max)",CRUDE PALM OIL FFA  5 MAX M I  0 5 MAX,16000,CPO
CRUDE PALM OIL (CPO) / ISCC CERTIFICATE CODE : EU-ISCC-Cert-DE119-62204280,CRUDE PALM OIL CPO  ISCC CERTIFICATE CODE  EU ISCC CERT DE119 62204280,16440,CPO
Palm Kernel,PALM KERNEL,16532,
Ongkos Angkut TBS DIV 1,ONGKOS ANGKUT TBS DIV 1,16560,
PENJUALAN PALM KERNEL,PENJUALAN PALM KERNEL,16580,
TBS Periode 05 Januari 2021,TBS PERIODE 05 JANUARI 2021,16797,TBS
CRUDE PALM OIL,CRUDE PALM OIL,16880,CPO
BIAYA HANDLING CPO,BIAYA HANDLING CPO,16999.36914,
PALM KERNEL KONTRAK NO. 046/SJMS/XXXXXXX,PALM KERNEL KONTRAK NO 046 SJMS KJB PK V 2021,17700,
Palm Kernel,PALM KERNEL,17746,
Ongkos Angkut TBS Div 3,ONGKOS ANGKUT TBS DIV 3,18450,
PENJUALAN CRUDE PALM OIL,PENJUALAN CRUDE PALM OIL,18500,CPO
Crude Palm Oil,CRUDE PALM OIL,18650,CPO
Ongkos Angkut TBS DIV 4,ONGKOS ANGKUT TBS DIV 4,18870,
PALM KERNEL,PALM KERNEL,19080,
Palm Kernel,PALM KERNEL,19169,
"Pembayaran Uang Muka CPO/Crude Palm Oil, Kontrak No.005/PSJ/XXXXXX",PEMBAYARAN UANG MUKA CPO CRUDE PALM OIL KONTRAK NO 005 PSJ C CPO I 2021,19250,CPO
CRUDE PALM OIL,CRUDE PALM OIL,19540,CPO
PALM KERNEL,PALM KERNEL,19620,
PALM KERNEL,PALM KERNEL,19900,
Palm Kernel,PALM KERNEL,20100,
Ongkos Angkut TBS DIV 2,ONGKOS ANGKUT TBS DIV 2,20370,
PENJUALAN PALM KERNEL,PENJUALAN PALM KERNEL,20780,
Palm Kernel,PALM KERNEL,20860,
"PK/Palm Kernel, No.Kontrak 118/PM/XXXXXX",PK PALM KERNEL NO KONTRAK 118 PM C PK VII 2021,21050,
Palm Kernel,PALM KERNEL,21060,
TBS PERIODE 23 JULI 2021,TBS PERIODE 23 JULI 2021,21148.90039,TBS
CRUDE PALM OIL,CRUDE PALM OIL,21250,CPO
"Pembayaran Uang Muka CPO/Crude Palm Oil, Kontrak No.040/PSJ/XXXXX",PEMBAYARAN UANG MUKA CPO CRUDE PALM OIL KONTRAK NO 040 PSJ C CPO III 2021,21630,CPO
Palm Kernel,PALM KERNEL,21634,
CPO (Crude Palm Oil) Kontrak 038-CPO.IMT/XXXXXX,CPO CRUDE PALM OIL KONTRAK 038 CPO IMT LIL IX 2021,21690,CPO
CRUDE PALM OIL ,CRUDE PALM OIL,22000,CPO
Ongkos Angkut TBS DIV 1,ONGKOS ANGKUT TBS DIV 1,22060,
Ongkos Angkut TBS Div 5,ONGKOS ANGKUT TBS DIV 5,22290,
TBS PERIODE 15 OKTOBER 2021,TBS PERIODE 15 OKTOBER 2021,22795.59961,TBS
CRUDE PALM OIL,CRUDE PALM OIL,23360,CPO
Palm Kernel,PALM KERNEL,23436,
Palm Kernel,PALM KERNEL,23559,
Ongkos Angkut TBS DIV 2,ONGKOS ANGKUT TBS DIV 2,23590,
Palm Kernel,PALM KERNEL,23701,
"CPO/Crude Palm Oil, No.Kontrak 063/PM/XXXX",CPO CRUDE PALM OIL NO KONTRAK 063 PM C CPO IV 2021,23940,CPO
Palm Kernel Oil,PALM KERNEL OIL,24390,
CRUDE PALM OIL,CRUDE PALM OIL,24560,CPO
PENJUALAN PALM KERNEL,PENJUALAN PALM KERNEL,24800,
TBS PER 01-15 JUN 2021 (TT 2008),TBS PER 01 15 JUN 2021 TT 2008,24871,TBS
PALM KERNEL,PALM KERNEL,25020,
PALM KERNEL,PALM KERNEL,25040,
TBS TLJX JLYM Bulan Juni 2021 Tahun Tanam 2008,TBS TLJX JLYM BULAN JUNI 2021 TAHUN TANAM 2008,25179,TBS
PENJUALAN CPO ( 043/SRM-XXXXXX/2021 ),PENJUALAN CPO  043 SRM CPO PKU II 2021,25340,CPO
PALM KERNEL,PALM KERNEL,25530,
TBS PERIODE 31 JANUARI 2021,TBS PERIODE 31 JANUARI 2021,25781,TBS
TBS PERIODE 12 - 13 APRIL 2021,TBS PERIODE 12  13 APRIL 2021,25802,TBS
PK (Palm Kernel) Kontrak 015-PK.IMT/LIL/XXXXXXX,PK PALM KERNEL KONTRAK 015 PK IMT LIL IX 2021,25810,
Palm Kernel,PALM KERNEL,25820,
CRUDE PALM OIL,CRUDE PALM OIL,26130,CPO
Palm Kernel,PALM KERNEL,26907,
CRUDE PALM OIL,CRUDE PALM OIL,27000,CPO
PK (Palm Kernel),PK PALM KERNEL,27050,
PENJUALAN CRUDE PALM OIL,PENJUALAN CRUDE PALM OIL,27210,CPO
CPO (Crude Palm Oil) Kontrak 042-CPO.IMT/LIL/X/2021,CPO CRUDE PALM OIL KONTRAK 042 CPO IMT LIL X 2021,27280,CPO
PALM KERNEL,PALM KERNEL,27650,
PENJUALAN CRUDE PALM OIL,PENJUALAN CRUDE PALM OIL,27900,CPO
CRUDE PALM OIL,CRUDE PALM OIL,27970,CPO
"PK/Palm Kernel, Kontrak No.007/PSJ/C-PK/I/2021",PK PALM KERNEL KONTRAK NO 007 PSJ C PK I 2021,28320,
"PK/Palm Kernel, Kontrak No.054/PSJ/C-PK/IV/2021",PK PALM KERNEL KONTRAK NO 054 PSJ C PK IV 2021,28320,
CRUDE PALM OIL (KG),CRUDE PALM OIL KG,28420,CPO
Crude Palm Oil,CRUDE PALM OIL,28693,CPO
"PK/Palm Kernel, Kontrak No.003/PSJ/C-PK/I/2021",PK PALM KERNEL KONTRAK NO 003 PSJ C PK I 2021,28700,
Ongkos Angkut TBS DIV 4,ONGKOS ANGKUT TBS DIV 4,28760,
PALM KERNEL,PALM KERNEL,28910,
PALM KERNEL OIL,PALM KERNEL OIL,29070,
TBS Periode 05 - 06 Juli 2021,TBS PERIODE 05  06 JULI 2021,29106,TBS
"CPO/Crude Palm Oil, Kontrak No.005/PSJ/C-CPO/I/2021",CPO CRUDE PALM OIL KONTRAK NO 005 PSJ C CPO I 2021,29250,CPO
"CPO/Crude Palm Oil, No.Kontrak 039/PM/C-CPO/III/2021",CPO CRUDE PALM OIL NO KONTRAK 039 PM C CPO III 2021,29270,CPO
"PK/Palm Kernel, No.Kontrak 064/PM/C-PK/IV/2021",PK PALM KERNEL NO KONTRAK 064 PM C PK IV 2021,29290,
CRUDE PALM OIL,CRUDE PALM OIL,29362,CPO
"CPO/Crude Palm Oil, No.Kontrak 017/PM/C-CPO/I/2021",CPO CRUDE PALM OIL NO KONTRAK 017 PM C CPO I 2021,29370,CPO
"PK/Palm Kernel, No.Kontrak 082/PM/C-PK/V/2021",PK PALM KERNEL NO KONTRAK 082 PM C PK V 2021,29520,
TBS PERIODE 01 - 02 JUNI 2021,TBS PERIODE 01  02 JUNI 2021,29600.30078,TBS
CRUDE PALM OIL,CRUDE PALM OIL,29690,CPO
Ongkos Angkut TBS DIV 2,ONGKOS ANGKUT TBS DIV 2,29830,
PK (Palm Kernel) Kontrak 004-PK.IMT/LIL/II/2021,PK PALM KERNEL KONTRAK 004 PK IMT LIL II 2021,29920,
TBS PERIODE 13  NOVEMBER 2021,TBS PERIODE 13  NOVEMBER 2021,29927.90039,TBS
CRUDE PALM OIL,CRUDE PALM OIL,30020,CPO
CRUDE PALM OIL,CRUDE PALM OIL,30100,CPO
PK (Palm Kernel) Kontrak 013-PK.IMT/LIL/VIII/2021,PK PALM KERNEL KONTRAK 013 PK IMT LIL VIII 2021,30280,
CRUDE PALM OIL,CRUDE PALM OIL,30870,CPO
PK (Palm Kernel) Kontrak 012-PK.IMT/LIL/VIII/2021,PK PALM KERNEL KONTRAK 012 PK IMT LIL VIII 2021,30870,
CLAIM CPO,CLAIM CPO,30890,CPO
TBS PER 16-31 DES 2021 (TT 2012),TBS PER 16 31 DES 2021 TT 2012,31324,TBS
BENIH KELAPA SAWIT-DAMIMAS,BENIH KELAPA SAWIT DAMIMAS,31905,
PENJUALAN CRUDE PALM OIL,PENJUALAN CRUDE PALM OIL,31970,CPO
CRUDE PALM OIL,CRUDE PALM OIL,32250,CPO
CPO (Crude Palm Oil) Kontrak 017-CPO.IMT/LIL/VI/2021,CPO CRUDE PALM OIL KONTRAK 017 CPO IMT LIL VI 2021,32260,CPO
PALM KERNEL,PALM KERNEL,32650,
CPO (Crude Palm Oil) Kontrak 006-CPO.IMT/LIL/III/2021,CPO CRUDE PALM OIL KONTRAK 006 CPO IMT LIL III 2021,32690,CPO
TBS PERIODE 12 - 13 JULI 2021,TBS PERIODE 12  13 JULI 2021,33038.89844,TBS
Bibit Kelapa Sawit,BIBIT KELAPA SAWIT,33333,
CRUDE PALM OIL,CRUDE PALM OIL,33510,CPO
Crude Palm Oil,CRUDE PALM OIL,34136,CPO
TBS Periode 15 Maret 2021,TBS PERIODE 15 MARET 2021,34567.60156,TBS
Crude Palm Oil,CRUDE PALM OIL,34600,CPO
Ongkos Angkut TBS DIV 1,ONGKOS ANGKUT TBS DIV 1,34610,
Ongkos Angkut TBS DIV 4,ONGKOS ANGKUT TBS DIV 4,34660,
TBS PERIODE 22 - 23 MARET 2021,TBS PERIODE 22  23 MARET 2021,34889.80078,TBS
CRUDE PALM OIL,CRUDE PALM OIL,34925,CPO
"CPO/Crude Palm Oil, Kontrak No.004/PSJ/C-CPO/I/2021",CPO CRUDE PALM OIL KONTRAK NO 004 PSJ C CPO I 2021,35190,CPO
PK (Palm Kernel) Kontrak 010-PK.IMT/LIL/VII/2021,PK PALM KERNEL KONTRAK 010 PK IMT LIL VII 2021,35440,
TBS PERIODE 21 DESEMBER 2021,TBS PERIODE 21 DESEMBER 2021,35510.80078,TBS
PALM KERNEL (PK),PALM KERNEL PK,36000,
TBS PERIODE 11 - 12 AGUSTUS 2021,TBS PERIODE 11  12 AGUSTUS 2021,36139.19922,TBS
Ongkos Angkut TBS DIV 3,ONGKOS ANGKUT TBS DIV 3,36220,
TBS PERIODE 27 OKTOBER 2021,TBS PERIODE 27 OKTOBER 2021,36246.10156,TBS
