,productName,type,confidenceLevel,explanation
87,Crude Palm Oil CPO,Product,1.0,This is a raw material of Palm Oil
88,Ongkos Angkut TBS DIV 2,Service,1.0,This is an on-transport cost service for TBS division 2
89,CPO,Product,1.0,This is a product of Crude Palm Oil
90,Ongkos Angkut TBS DIV 3,Service,1.0,This is an on-transport cost service for TBS division 3
91,CRUDE PALM OIL HS CODE 15111000,Product,1.0,This is a product of Crude Palm Oil with HS Code 15111000
92,CRUDE PALM OIL,Product,1.0,This is a product of Crude Palm Oil
93,PALM KERNEL,Product,1.0,This is a product of Palm Kernel
94,Ongkos Angkut TBS DIV 1,Service,1.0,This is an on-transport cost service for TBS division 1
95,CPO KONTRAK JUAL BELI NOC05XXXXX,Product,1.0,This is a product of Crude Palm Oil with contract sale number NOC05XXXXX
96,CRUDE PALM OIL,Product,1.0,This is a raw material of palm oil.
97,TBS PERIODE 31 MARET 2021,Service,0.9,This is a service for transaction data of palm oil in March 2021.
98,Palm Kernel,Product,1.0,This is a processed product from palm oil.
99,CPOCrude Palm Oil NoKontrak 108PMXXXXXXX,Product,1.0,This is a raw material of crude palm oil with contract number 108PMXXXXXXX.
100,PENJUALAN CRUDE PALM OIL,Service,0.9,This is a service for sale transaction data of crude palm oil.
101,BENIH KELAPA SAWITDAMIMAS,Product,0.95,This is a product of Benih Kelapa SawitDamas.
102,CRUDE PALM OIL,Product,1.0,This is a crude palm oil product.
103,CRUDE PALM OIL FFA,Product,1.0,This is a crude palm oil with FFA (Free Fatty Acid) product.
104,CRUDE PALM OIL CPO,Product,1.0,This is a crude palm oil with Certificate of Analysis (CPO).
105,BIAYA HANDLING CPO,Service,0.95,This is a handling fee service for Crude Palm Oil with Certificate of Analysis.
106,PALM KERNEL,Product,1.0,This is a raw material derived from palm oil.
107,Palm Kernel,Product,1.0,This is a raw material derived from palm oil.
108,Ongkos Angkut TBS Div 3,Service,1.0,This is a service for transport costs.
109,Penjualan Crude Palm Oil,Product,1.0,This is a product of crude palm oil.
110,Crude Palm Oil,Product,1.0,This is a raw material derived from palm oil.
111,Ongkos Angkut TBS DIV 4,Service,1.0,This is a service for transport costs.
112,Pembayaran Uang Muka CPO Crude Palm Oil Kontrak,Product,1.0,This is a product of crude palm oil payment.
113,Crude Palm Oil,Product,1.0,This is a raw material derived from palm oil.
114,PALM KERNEL,Product,1.0,This is a raw material or processed product from palm oil.
115,Ongkos Angkut TBS DIV 2,Service,0.1,"The name of this product suggests an assistance or payment for transportation, therefore it is classified as a service with low confidence."
116,PENJUALAN PALM KERNEL,Service,0.9,"The name of this product indicates a sale of palm kernel, but the verb 'penjualan' suggests a service."
117,CRUDE PALM OIL,Product,1.0,This is a raw material or processed product from palm oil.
118,Pembayaran Uang Muka CPOCrude Palm Oil Kontrak...,Service,0.1,This is a service for payment of crude palm oil contract.
119,Palm Kernel,Product,0.9,This is a product of raw palm kernel.
120,CPO Crude Palm Oil Kontrak 038CPOIMTXXXXXX,Product,0.9,This is a product of crude palm oil from contract number 038CPOIMTXXXXXX.
121,CRUDE PALM OIL,Product,0.9,This is a product of crude palm oil.
122,Ongkos Angkut TBS DIV 1,Service,0.9,This is a service for transportation cost of TBS division 1.
123,TBS PERIODE 15 OKTOBER 2021,Product,0.8,"This is a product of TBS period October 15, 2021."
124,CRUDE PALM OIL,Product,0.9,This is a product of crude palm oil.
125,Palm Kernel,Product,0.9,This is a product of raw palm kernel.
126,Palm Kernel,Product,0.9,This is a product of raw palm kernel.
127,Ongkos Angkut TBS DIV 2,Service,0.1,This is a service for transportation costs
128,Palm Kernel,Product,0.95,This is a raw material of palm oil
129,CPOCrude Palm Oil NoKontrak 063PMXXXX,Product,0.9,This is crude palm oil without contract number
130,Palm Kernel Oil,Product,0.9,This is processed product of palm kernel oil
131,CRUDE PALM OIL,Product,0.95,This is raw material of crude palm oil
132,PENJUALAN PALM KERNEL,Service,0.9,This is a service for selling palm kernel
133,TBS PER 0115 JUN 2021 TT 2008,Service,0.9,This is a service for TBS with date and transit number
134,PALM KERNEL,Product,0.95,This is a raw material of palm kernel
135,PALM KERNEL,Product,0.95,This is a raw material of palm kernel
136,TBS TLJX JLYM Bulan Juni 2021 Tahun Tanam 2008,Product,0.95,This is a product of Fresh Fruit Oil Palm with year and month of harvesting.
137,PENJUALAN CPO,Service,1.0,This is a sale of Crude Palm Oil.
138,PALM KERNEL,Product,1.0,This is a raw material or processed product from palm oil.
139,TBS PERIODE 31 JANUARI 2021,Service,1.0,This is a service for the delivery note of palm oil in January 2021.
140,TBS PERIODE 12 13 APRIL 2021,Service,1.0,This is a service for the delivery note of palm oil in April 2021.
141,PK Palm Kernel Kontrak 015PKIMTLILXXXXXXX,Product,1.0,This is a contract of palm kernel.
142,CRUDE PALM OIL,Product,1.0,This is a raw material or processed product from palm oil.
143,PK Palm Kernel,Product,1.0,This is a raw material or processed product from palm oil (palm kernel).
144,PENJUALAN CRUDE PALM OIL,Product,1.0,This is a product of Crude Palm Oil.
145,CPO Crude Palm Oil Kontrak 042CPOIMTLILX2021,Product,1.0,This is a product of Crude Palm Oil with contract number 042CPOIMTLILX2021.
146,PALM KERNEL,Product,1.0,This is a product of Palm Kernel.
147,PKPalm Kernel Kontrak No007PSJCPKI2021,Product,1.0,This is a product of Palm Kernel with contract number No007PSJCPKI2021.
148,PKPalm Kernel Kontrak No054PSJCPKIV2021,Product,1.0,This is a product of Palm Kernel with contract number No054PSJCPKIV2021.
149,CRUDE PALM OIL KG,Product,1.0,This is a product of Crude Palm Oil in kilograms.
150,Crude Palm Oil,Product,1.0,This is a product of Crude Palm Oil.
151,Ongkos Angkut TBS DIV 4,Service,0.1,This is a service related to the cost of transporting TBS (Tropical Basis) Division 4.
152,PALM KERNEL,Product,0.9,This is a raw material obtained from palm fruits.
153,PALM KERNEL OIL,Product,0.9,This is an edible oil derived from palm kernel.
154,TBS Periode 05 06 Juli 2021,Service,0.3,This is a service related to TBS (Tropical Basis) from the period 05 July 2021.
155,CRUDE PALM OIL,Product,0.9,This is a raw material obtained by extracting oil from palm fruits.
156,CPOCrude Palm Oil NoKontrak 005PMCCPOI2021,Product,0.9,This is crude palm oil from Contract NoKontrak 005PMCCPOI2021.
157,PKPalm Kernel NoKontrak 064PMCPKIV2021,Product,0.9,This is palm kernel from Contract PMCPKIV2021.
158,PKPalm Kernel NoKontrak 082PMCPKV2021,Product,0.9,This is palm kernel from Contract PMCPKV2021.
159,TBS PERIODE 01 02 JUNI 2021,Service,0.6,This is a service related to TBS with period 01 June 2021.
160,CRUDE PALM OIL,Product,0.95,This is a raw material or processed product of palm oil.
161,Ongkos Angkut TBS DIV 2,Service,0.8,This is a service related to the cost of transporting TBS division 2.
162,PK Palm Kernel Kontrak 004PKIMTLILII2021,Product,0.9,This is a product of palm kernel contract number PKIMTLILII2021.
163,PK Palm Kernel Kontrak 013PKIMTLILVIII2021,Product,0.9,This is a product of palm kernel contract number PKIMTLILVIII2021.
164,PK Palm Kernel Kontrak 012PKIMTLILVIII2021,Product,0.9,This is a product of palm kernel contract number PKIMTLILVIII2021.
165,CLAIM CPO,Service,1.0,This is a service related to claiming CPO (Crude Palm Oil)
166,TBS PER 1631 DES 2021 TT 2012,Service,1.0,This is a service related to TBS (Tropical Bunch Sampling) of palm oil with the description 'PER 1631 DES 2021 TT 2012'
167,BENIH KELAPA SAWITDAMIMAS,Product,1.0,This is a product of palm seeds with the name 'BENIH KELAPA SAWITDAMIMAS'
168,PENJUALAN CRUDE PALM OIL,Service,1.0,This is a service related to the sale of Crude Palm Oil
169,CRUDE PALM OIL,Product,1.0,This is a product of Crude Palm Oil
170,PALM KERNEL,Product,1.0,This is a product of palm kernel
171,CPO CRUDE PALM OIL Kontrak 017CPOIMTLILVI2021,Product,1.0,This is a product of Crude Palm Oil with the contract number 'CPO CRUDE PALM OIL Kontrak 017CPOIMTLILVI2021'
172,CPO CRUDE PALM OIL Kontrak 006CPOIMTLILIII2021,Product,1.0,This is a product of Crude Palm Oil with the contract number 'CPO CRUDE PALM OIL Kontrak 006CPOIMTLILIII2021'
173,TBS PERIODE 12 13 JULI 2021,Service,1.0,This is a service related to Tropical Bunch Sampling of palm oil with the description 'PERIODE 12 13 JULI 2021'
174,Bibit Kelapa Sawit,Product,1.0,This is a product of palm seeds with the name 'Bibit Kelapa Sawit'
175,CRUDE PALM OIL,Product,1.0,This is a raw material or processed product from palm oil.
176,Crude Palm Oil,Product,1.0,This is a raw material or processed product from palm oil.
177,TBS Periode 15 Maret 2021,Product,1.0,This is a product of palm fruits harvested in March 2021.
178,CPOCrude Palm Oil Kontrak No004PSJCCPOI2021,Product,1.0,This is a contract for crude palm oil with the number No004PSJCCPOI2021.
179,PK Palm Kernel Kontrak 010PKIMTLILVII2021,Product,1.0,This is a contract for palm kernel with the number 010PKIMTLILVII2021.
180,TBS PERIODE 21 DESEMBER 2021,Service,0.7,"This is a service related to TBS period ending on December 21, 2021."
181,PALM KERNEL PK,Product,0.95,This is a product of palm kernel.
182,TBS PERIODE 11 12 AGUSTUS 2021,Service,0.8,"This is a service related to TBS period ending on August 11, 2021."
183,Ongkos Angkut TBS DIV 3,Service,0.85,This is a service for transport cost of TBS Division 3.
184,CPOCrude Palm Oil NoKontrak 089PMCCPOV2021,Product,0.95,This is a product of Crude Palm Oil with contract number 089PMCCPOV2021.
185,CPOCrude Palm Oil NoKontrak 066PMCCPOIV2021,Product,0.95,This is a product of Crude Palm Oil with contract number 066PMCCPOIV2021.
186,Ongkos Angkut TBS Div 5,Service,0.9,This is a service for transporting palm oil from TBS Division 5.
187,Palm Kernel,Product,1.0,This is a raw material of palm oil obtained from the fruit of the oil palms.
188,Pembayaran Uang Muka CPO Crude Palm Oil Kontrak,Service,0.9,This is a service for payment of advance payment for crude palm oil contract.
189,TBS PER 1631 DES 2021 TT 2011,Product,0.9,This is a product of crude palm oil obtained from the TBS in December 2021.
190,Ongkos Angkut TBS DIV 3,Service,0.9,This is a service for transporting palm oil from TBS Division 3.
191,Crude Palm Oil NoKontrak 150PMCCPOIX2021,Product,0.9,This is a product of crude palm oil under contract no: 150PMCCPOIX2021.
192,Crude Palm Oil,Product,1.0,This is a raw material of crude palm oil obtained from the fruit of the oil palms.
193,TBS Periode 17 Juni 2021,Product,0.9,This is a product of crude palm oil obtained from the TBS in June 2021.
194,CRUDE PALM OIL,Product,1.0,This is a raw material of crude palm oil obtained from the fruit of the oil palms.
195,Palm Kernel,Product,1.0,This is a raw material or processed product from palm oil.
196,CRUDE PALM OIL,Product,1.0,This is a raw material or processed product from palm oil.
197,PALM KERNEL CURAH MB Mass Balance RSPO Certified,Product,1.0,This is a raw material or processed product from palm oil.
198,TBS PER 0115 DES 2021 TT 2013,Product,1.0,This is a product or a specific designation of palm oil.
199,TBS PERIODE 26 FEBRUARI 2021,Product,1.0,This is a product or a specific designation of palm oil.
200,Ongkos Angkut TBS Div 4,Service,1.0,This is a service related to the transportation of palm oil or its by-products.
201,Ongkos Angkut TBS DIV 3,Service,1.0,This is a service related to the transportation of palm oil or its by-products.
202,TBS PERIODE 16 DESEMBER 2021,Product,1.0,This is a product or a specific designation of palm oil.
203,INTI SAWIT,Product,1.0,This is a raw material of Palm Oil - Palm Kernels and Palm Oil - Crude Palm Oil.
204,Crude Palm Oil,Product,1.0,This is a refined form of palm oil.
205,Palm Kernel,Product,1.0,This is a raw material of Palm Oil - Crude Palm Oil and edible oil.
206,Ongkos Angkut TBS DIV 2,Service,1.0,This is a transportation cost of Fresh Fruit Bunches (TBS) from Division 2.
207,TBS Periode 0607 Desember 2021,Product,1.0,This refers to the Fresh Fruit Bunches (TBS) of Palm Oil harvested between December 2021 and the next month.
208,CRUDE PALM OIL,Product,1.0,This is a refined form of palm oil.
209,Penjualan Palm Kernel,Service,1.0,This is a sales service for Palm Kernels.
210,Uang Muka Palm Kernel,Service,1.0,This is an advance payment for the sale of Palm Kernels.
211,Crude Palm Oil,Product,1.0,This is a raw material of Palm Oil.
212,TBS PER 1630 NOV 2021 TT 2008,Product,0.9,This is a product derived from palm oil.
213,PK Palm Kernel,Product,1.0,This is a raw material of Palm Kernel.
214,Pembayaran Uang Muka CPOCrude Palm Oil NoKontrak,Service,0.9,This is a payment service for Crude Palm Oil Contract.
215,PENJUALAN CRUDE PALM OIL,Service,0.9,This is a sale service for Crude Palm Oil.
216,Ongkos Angkut TBS Div 1,Service,0.9,This is a transport cost service for TBS Division 1.
217,CRUDE PALM OIL,Product,1.0,This is a raw material or processed product from palm oil.
218,PALM KERNEL,Product,1.0,This is a raw material or processed product from palm oil.
219,Ongkos Angkut CPO,Service,1.0,This is a service for transportation cost of Crude Palm Oil.
220,Crude Palm Oil,Product,1.0,This is a raw material or processed product from palm oil.
221,Palm Kernel,Product,1.0,This is a raw material or processed product from palm oil.
222,CPO Crude Palm Oil Kontrak 001CPOIMTLILI2021,Product,1.0,This is a raw material or processed product from palm oil in the form of a contract.
223,CPOCrude Palm Oil Kontrak No012PSJCCPOI2021,Product,1.0,This is a raw material or processed product from palm oil in the form of a contract.
224,PENJUALAN PALM KERNEL,Service,1.0,This is a service for selling Palm Kernel.
225,TBS PER 1631 OKT 2021 TT 2008,Product,0.9,This is a product of TBS with the description 'TBS PER 1631 OKT 2021 TT 2008'
226,UANG MUKA CRUDE PALM OIL,Product,0.9,This is a product of Crude Palm Oil with the description 'UANG MUKA CRUDE PALM OIL'
227,CPOCrude Palm Oil Kontrak No002PSJCCPOI2021,Product,0.9,This is a product of Crude Palm Oil with the description 'CPOCrude Palm Oil Kontrak No002PSJCCPOI2021'
228,PENJUALAN PALM KERNEL,Product,0.9,This is a product of Palm Kernel with the description 'PENJUALAN PALM KERNEL'
229,TBS PERIODE 25 MEI 2021,Product,0.9,This is a product of TBS with the description 'TBS PERIODE 25 MEI 2021'
230,PALM KERNEL,Product,0.9,This is a product of Palm Kernel with the description 'PALM KERNEL'
231,TBS PER 0115 DES 2021 TT 2012,Product,0.9,This is a product of TBS with the description 'TBS PER 0115 DES 2021 TT 2012'
232,TBS PERIODE 02 03 AGUSTUS 2021,Service,0.0,This is not a product or service as it is just a label or identifier.
233,Palm Kernel,Product,1.0,This is a raw material derived from palm oil.
234,KLAIM MUTU CPO,Service,1.0,This is a service for quality claim of Crude Palm Oil.
235,PALM KERNEL,Product,1.0,This is a raw material derived from palm oil.
236,PK PALM KERNEL,Service,1.0,This is a service for packaging or processing of Palm Kernel.
237,Crude Palm Oil,Product,1.0,This is an unrefined oil extracted from the palm fruit.
238,CRUDE PALM OIL,Product,1.0,This is a synonym for Crude Palm Oil.
239,CPOCrude Palm Oil NoKontrak 013PMCCPOI2021,Product,1.0,This is an identification label for Crude Palm Oil with contract number 013PMCCPOI2021.
240,TBS Periode 15 sd 16 November 2021,Service,0.0,This is a service related to TBS (Trading Base) for the period of 15-16 November 2021.
241,PALM KERNEL,Product,1.0,This is a raw material obtained from palm fruits.
242,CPOCrude Palm Oil Kontrak No084PSJCCPOVIII2021,Product,1.0,This is Crude Palm Oil under contract No084PSJCCPOVIII2021.
243,CPO Crude Palm Oil Kontrak 010CPOIMTLILIV2021,Product,1.0,This is Crude Palm Oil under contract 010CPOIMTLILIV2021.
244,PKPalm Kernel Kontrak No105PSJCPKIX2021,Product,1.0,This is Palm Kernel under contract No105PSJCPKIX2021.
245,PALM KERNEL OIL,Product,1.0,This is oil extracted from palm kernel.
246,CRUDE PALM OIL,Product,1.0,This is unrefined and unreprocessed Palm Oil.
247,Palm Kernel,Product,1.0,This is the edible kernel found inside palm fruits.
248,Ongkos Angkut TBS DIV 4,Service,0.9,This refers to transportation costs for TBS (Trading Base) in Division 4.
249,PALM KERNEL OIL,Product,1.0,This is oil extracted from palm kernels.
250,PKPalm Kernel NoKontrak 100PMCPKVI2021,Product,1.0,This is a product of Palm Kernel
251,CPO Crude Palm Oil Kontrak 020CPOIMTLILVI2021,Product,1.0,This is a product of Crude Palm Oil
252,PALM KERNEL,Product,1.0,"This is a raw material or processed from palm oil, therefore classified as a Product."
253,Palm Kernel,Product,1.0,"This is a raw material or processed from palm oil, therefore classified as a Product."
254,CRUDE PALM OIL,Product,1.0,This is a product of Crude Palm Oil
255,Ongkos Angkut TBS DIV 2,Service,1.0,This is a service for ongkos angkut (transport cost) in the division 2.
256,CPOCrude Palm Oil NoKontrak 062PMCCPOIV2021,Product,1.0,This is a product of Crude Palm Oil under contract no: 062PMCCPOIV2021
257,CPOCrude Palm Oil No Kontrak 210PMCCPOXII2021,Product,1.0,This is a product of Crude Palm Oil under contract no: 210PMCCPOXII2021
258,PALM KERNEL,Product,1.0,"This is a raw material or processed from palm oil, therefore classified as a Product."
259,Ongkos Angkut TBS DIV 2,Service,1.0,This is a service for transportation cost of TBS Division 2.
260,CRUDE PALM OIL KG,Product,1.0,This is a raw material or processed product of Crude Palm Oil in kilograms.
261,Crude Palm Oil,Product,1.0,This is a raw material or processed product of Crude Palm Oil.
262,PALM KERNEL,Product,1.0,This is a raw material or processed product of Palm Kernel.
263,TBS Periode 09 sd 10 Oktober 2021,Service,1.0,"This is a service for TBS in the period of October 9 to 10, 2021."
264,TBS Periode 28 Juni 2021,Service,1.0,"This is a service for TBS in the period of June 28, 2021."
265,Pembayaran Uang Muka CPOCrude Palm Oil Kontrak...,Service,1.0,This is a service for payment of advance for Crude Palm Oil Contract...
266,CPO Crude Palm Oil Kontrak 041CPOIMTLILX2021,Product,1.0,This is a product of Crude Palm Oil Contract number 041CPOIMTLILX2021.
267,TBS Periode 25 28 Agustus 2021,Service,0.1,This is a service related to TBS (Test Boothed Sample) with the given period and date.
268,Crude Palm Oil,Product,0.95,This is a raw material or processed product of Crude Palm Oil.
269,CPO Crude Palm Oil Kontrak 015CPOIMTLILVI2021,Product,0.98,This is a product of Crude Palm Oil with contract number 015CPOIMTLILVI2021.
270,TBS PER 1631 DES 2021 TT 2010,Service,0.8,This is a service related to TBS (Test Boothed Sample) with the given period and date.
271,CRUDE PALM OIL,Product,0.95,This is a raw material or processed product of Crude Palm Oil.
272,Tuslaag TBS Div 6,Service,0.1,This is a service related to Tuslaag (a term possibly referring to a laboratory or testing facility) and the given division number.
273,Palm Kernel,Product,0.98,This is a raw product derived from palm trees called palm kernels.
274,PALM KERNEL KONTRAK NO 036SJMSKJBPKIV2021,Product,0.95,This is a product of palm kernel with the given contract number.
275,Panjar Penjualan CPO 146SRMCPOPKUVI2021,Product,0.9,This is a product of Crude Palm Oil
276,TBS PERIODE 30 31 OKTOBER 2021,Service,0.8,This is a service related to TBS with delivery date of October 2021
277,CRUDE PALM OIL,Product,1.0,This is a raw material of Crude Palm Oil
278,Ongkos Angkut TBS DIV 6,Service,0.8,This is a service for transport cost of TBS Division 6
279,TBS Periode 04 07 September 2021,Service,0.8,This is a service related to TBS with delivery date of September 2021
280,Palm Kernel,Product,1.0,This is a product of Palm Kernel
