NamaBarang,JumlahBarang,type,category,confidenceLevel,explanation,quantity
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 7637226 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,7637226
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8113557 KG,1.0,product,Primary,0.9,Oil palm fruit is a primary product.,8113557
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8628950 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,8628950
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1997 8861121 KG,1.0,product,Primary,0.95,Oil palm fruit is a primary product.,8861121
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1998 1458681 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,1458681
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 1700094 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,1700094
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 1990593 KG,1.0,product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,1990593
TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 2367230 KG,1.0,product,Primary,1.0,Oil palm fruit is a primary product.,2367230
Termin 4 7617 Pekerjaan Design and Build Gas Holder Pabrik Kelapa Sawit PKS LIBO,1.0,product,Primary,0.95,Pabrik Kelapa Sawit (PKS) is a palm oil mill that produces crude palm oil (CPO) through the processing of fresh fruit bunches (FFB). The design and build gas holder service provided by Termin 4 is an asset used in the production process.,7617
Uang Muka II Crude Palm Oil CPO,1.0,product,Primary,1.0,Uang Muka II Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,50000.0
5 Bl Blanko Sounding Palm Kernel SCPR  0010662610 ,5.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
PAINTING JOTUN HARDTOP XP WARNA CPO OIL RAL 18 LTR,5.0,product,Primary,1.0,Painting is a product that directly contributes to the processing of palm oil.,18
MASTER KEY GEMBOK TRUK CPO,7.0,product,Primary,1.0,Mast Key Gembock Truk Cpo is a product of palm oil fruit.,1
10 Bl Blanko Analisa Minyak Sawit Oil Loss SCPR  0010810374 ,10.0,service,Maintenance/Repair Service,0.9,"The text mentions 'Analisa Minyak Sawit Oil Loss SCPR', which suggests that the product is related to oil loss processing service.",1
MASTER KEY GEMBOK TRUK CPO,11.0,product,Primary,1.0,Mast Key Gembock Truk Cpo is a product of palm oil fruit.,1
20 Bl Blanko Bast Sample Despatch CPO SCPR  0010658424  ,20.0,product,Primary,1.0,Oil palm fruit,20
BLANKO SOUNDING PALM KERNEL,20.0,product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
Minyak Kelapa Sawit CPO,50.0,product,Primary,1.0,Minyak Kelapa Sawit CPO is a product made from the oil of the oil palm fruit.,0
CPOCRUDE PALM OIL,93.0,product,Primary,1.0,Palm oil is a primary product of the oil palm fruit.,0
100 Bl Blanko Rekap Denda Grading TBS Plasma SCPR  XX ,100.0,product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit and is used for processing palm oil.,100
VITAMIN A PALMITATE 17 mIUg 0418579294 FO HS 29362100,250.0,product,Primary,1.0,VITAMIN A PALMITATE is a primary part of the oil palm fruit.,17
Lebih Kirim Toleransi atas SPJB No  088XXCPOXXX20XX,300.0,service,Maintenance/Repair Service,0.9,Lebih Kirim Toleransi atas SPJB No  088XXCPOXXX20XX is a maintenance and repair service for palm oil processing equipment.,1
Lebih Angkut Palm Kernel,378.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
CPOCrude Palm Oil Kontrak No082XXXXXX20XX,410.0,product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
Tanaman Kelapa Sawit,417.0,product,Primary,1.0,Tanaman Kelapa Sawit is a type of oil palm fruit which is the primary product of palm oil processing.,1
Penjualan Crude Palm Oil,456.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
Lubang tanam Mekanis Sawit Div6,473.0,product,Primary,1.0,Lubang tanam is a term used to describe the land area where oil palm trees are grown.,6
CRUDE PALM OIL CPO HS CODE  15111000,750.0800171,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
Palm Kernel,1000.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
Pelunasan freight inti sawit in basg PangkalBalamLampung,1100.0,service,Transport service,1.0,"The text refers to the transportation of palm oil products, which falls under the category of transport services.",1
PK Palm Kernel,1165.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
Pelunasan freight  inti sawit curah Pangkal BalamLampung,1200.0,product,Primary,1.0,Oil palm fruit is a primary product of the oil palm plantation.,0
Pelunasan freight inti sawit curah KendawanganLampung,1204.449951,service,Transport service,1.0,Pelunasan is a transport service for palm oil products,1
PALM KERNEL RSPOMB,1370.0,product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
ONGKOS ANGKUT PALM KERNEL,1450.0,service,Transport service,0.8,ONGKOS ANGKUT PALM KERNEL is a transportation service for palm kernel.,1
Pembayaran I freight inti sawit curah KendawanganLampung,1504.444946,service,Transport service,1.0,"The text refers to the payment of freight for palm oil transported from Kendawangan to Lampung, indicating a service related to transportation.",1
CRUDE PALM OIL,1760.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
Ongkos angkut CPO,1760.0,service,Transport service,1.0,Ongkos angkut CPO refers to the transportation service for palm oil products.,1
FP 100 Freight Palm Kernel,1800.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,100
TBS PER 1630 JUN 2021 TT 2012,1894.0,service,Transport service,0.8,"The text mentions 'TBS PER 1630 JUN 2021 TT 2012', which suggests that it is related to transportation services.",1
CPO Crude Palm Oil ,1999.920044,product,Primary,1.0,CPO Crude Palm Oil is a primary product of the oil palm fruit.,100
Palm Kernel,2100.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
Pembayaran Uang Muka CPOCrude Palm Oil Kontrak No052XXXCCPOXX20XX,2160.0,service,Maintenance/Repair Service,0.8,The text mentions 'Pembayaran Uang Muka' which is a payment service for palm oil contracts.,1
Palm Kernel,2170.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
Palm Kernel,2210.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
CRUDE PALM OIL,2380.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
PK Palm Kernel Kontrak 022PKIMTLILXI2021,2600.0,service,Maintenance/Repair Service,0.8,"The text refers to a maintenance and repair service for palm kernel, which is a product of the oil palm fruit.",1
CRUDE PALM OIL CPO,2980.0,product,Primary,1.0,Crude palm oil (CPO) is a primary product of the oil palm fruit.,0
Pembayaran Uang Muka PKPalm Kernel NoKontrak 077XXXXXX20XX,3080.0,service,Maintenance/Repair Service,0.8,The text mentions 'Pembayaran Uang Muka' which is a service related to the processing of palm oil.,1
PENJUALAN CRUDE PALM OIL,3240.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,5000.0
Pembayaran Uang Muka PKPalm Kernel NoKontrak 064XXCPKXX20XX,3300.0,service,Maintenance/Repair Service,0.8,The text refers to the payment of a maintenance fee for a PKPalm kernel contract.,1
Ongkos Angkut TBS DIV 7,3340.0,service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
Tanaman Kelapa Sawit Batch 202201R121 PO4200159439,3768.0,product,Primary,1.0,Tanaman Kelapa Sawit Batch 202201R121 PO4200159439 is a palm oil fruit which is a primary product.,1
BIAYA HANDLING CPO,3919.510986,service,Transport service,0.8,BIAYA HANDLING CPO is a transportation service for palm oil products.,1
CPOCrude Palm Oil Kontrak No117,4120.0,service,Transport service,0.8,CPOCrude Palm Oil Kontrak No117 is a transportation contract for the delivery of crude palm oil.,1
Penjualan CPO 257SRMCPOPKUIX2021,4210.0,product,Primary,1.0,Oil palm fruit is a primary product.,257
CRUDE PALM OIL,4230.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
PENJUALAN CRUDE PALM OIL,4600.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
Crude Palm Oil CPO 4910 Kg Kontrak 584,4910.0,product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,4910
Palm Kernel PK 4964 Kg Kontrak 281KERNEL,4964.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,4964
Crude Palm Oil,5000.0,product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
PENJUALAN PALM KERNEL,5000.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,5000
Palm Kernel PK 5000 Kg Kontrak 255KERNEL,5000.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,5000
CRUDE PALM OIL HS CODE 15111000,5160.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
PKPalm Kernel NoKontrak 067,5160.0,product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
PENJUALAN PALM KERNEL,5220.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,500
CPO,5357.0,product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
Minyak Sawit  CPO  ,5487.0,product,Primary,1.0,Minyak Sawit is a type of palm oil product.,0
PENJUALAN 5690 KG CPO,5690.0,product,Primary,1.0,Penjuanal 5690 KG CPO is a product of palm oil fruit.,5690
TBS PER 1631 MEI 2021 TT 2009,5805.0,product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
CPO NO C02CASSTNXIXX,5850.0,product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
Ongkos Angkut TBS DIV 4,5880.0,service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
CRUDE PALM OIL,6430.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
CRUDE PALM OIL FFA  5 max MI  05 max,7000.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,5
PENJUALAN 7100 KG CPO,7100.0,product,Primary,1.0,Penjuanal 7100 KG CPO is a product of palm oil fruit.,7100
Palm Kernel PK,7130.0,product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
PALM KERNEL INTI SAWIT,7194.0,product,Primary,1.0,Palm kernel is a part of the oil palm fruit and is directly used for processing palm oil.,0
CPO,7500.0,product,Primary,1.0,Crude Palm Oil (CPO) is a primary product derived from the oil palm fruit.,0
CPO KONTRAK JUAL BELI NOC02XX,7500.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
CRUDE PALM OIL,7540.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
PALM KERNEL,7550.0,product,Primary,1.0,Palm kernel is a part of the oil palm fruit and is directly used in the processing of palm oil.,0
TBS Periode 07 Maret 2021,8079.100098000001,service,Maintenance/Repair Service,0.8,The text mentions 'periode' which is a service related to maintenance and repair of palm oil processing equipment.,1
Penjualan CPO 015CPOCC,8120.0,product,Primary,1.0,Penjualan CPO 015CPOCC is a product of palm oil fruit.,1
CRUDE PALM OIL,8340.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
CPO NO C01CASSTNXXXX,8500.0,service,Maintenance/Repair Service,0.8,"The text mentions 'CPO' which is an abbreviation for 'Certificate of Origin', and 'NO C01CASSTNXXXX' which is a unique identification number assigned to the product. This suggests that the product is related to import/export and customs clearance procedures, which falls under the category of maintenance/repair service.",1
PK PALM KERNEL,8620.0,product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
CRUDE PALM OIL CPO SESUAI KONTRAK NO SO0012XXXXX DAN INVOICE NO INV0171XXXXX,8740.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
PKPalm Kernel NoKontrak 043XXXX,8830.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
CPOCrude Palm Oil NoKontrak 169XXXXX,8970.0,product,Primary,0.8,Palm oil fruit is a primary product of the oil palm tree.,0
PALM KERNEL ,9005.0,product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
Ongkos Angkut TBS DIV 3,9060.0,service,Transport service,0.9,Ongkos Angkut is a transportation service provider.,1
CRUDE PALM OIL,9240.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
CRUDE PALM OIL,9729.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
Crude Palm Oil CPO 9990 Kg Kontrak 562CPOXXXXX,9990.0,product,Primary,1.0,Crude Palm Oil CPO is a primary product of the oil palm fruit.,9990
CPO KONTRAK JUAL BELI NOC04XXXX,10000.0,service,Maintenance/Repair Service,0.8,The text refers to a contract for maintenance and repair services for oil palm fruit.,1
CPO KONTRAK JUAL BELI NOC05XXXXX,10000.0,service,Maintenance/Repair Service,0.8,The text mentions 'JUAL BELI' which is a service related to the maintenance and repair of oil palm trees.,1
Crude Palm Oil CPO 10000 Kg Kontrak 574CPOXXXXX,10000.0,product,Primary,1.0,Crude Palm Oil CPO is a primary product of the oil palm fruit.,10000
Crude Palm Oil CPO 10000 Kg Kontrak 587CPOXXXX,10000.0,product,Primary,1.0,Crude Palm Oil CPO is a primary product of the oil palm fruit.,10000
Ongkos Angkut TBS DIV 2,10260.0,service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
CPO,10490.0,product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
Ongkos Angkut TBS DIV 3,10640.0,service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
CRUDE PALM OIL HS CODE 15111000,11128.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
CRUDE PALM OIL,11480.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
PALM KERNEL,12180.0,product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
Ongkos Angkut TBS DIV 1,12260.0,service,Transport service,0.9,Ongkos Angkut is a transportation service provider,1
CRUDE PALM OIL,12370.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
CPO KONTRAK JUAL BELI NOC05XXXXX,12500.0,service,Maintenance/Repair Service,0.8,"The text mentions 'CPO KONTRAK JUAL BELI NOC05XXXXX', which suggests that it is related to the maintenance or repair of a contract for palm oil processing.",1
CRUDE PALM OIL,12940.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
TBS PERIODE 31 MARET 2021,13048.59961,service,Maintenance/Repair Service,0.8,The text mentions 'TBS PERIODE' which is a service provider for palm oil processing.,1
Palm Kernel,13110.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
CPOCrude Palm Oil NoKontrak 108PMXXXXXXX,13430.0,product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,108
CRUDE PALM OIL,14160.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
TBS PERIODE 10 AGUSTUS 2021,14529.90039,service,Maintenance/Repair Service,0.8,The text mentions 'TBS PERIODE' which is a maintenance and repair service for oil palm trees.,1
PENJUALAN CRUDE PALM OIL,14600.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,5000.0
CRUDE PALM OIL,14660.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
CRUDE PALM OIL,14900.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
Palm Kernel,15174.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
BENIH KELAPA SAWITDAMIMAS,15238.0,product,Primary,1.0,BENIH KELAPA SAWITDAMIMAS is a type of oil palm fruit which is a primary product.,1
CRUDE PALM OIL,15860.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
CRUDE PALM OIL FFA  5 max MI  05 max,16000.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,5
CRUDE PALM OIL CPO  ISCC CERTIFICATE CODE  EUISCCCertDE11962204280,16440.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
Palm Kernel,16532.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
Ongkos Angkut TBS DIV 1,16560.0,service,Transport service,0.8,Ongkos Angkut is a transportation service provider,1
PENJUALAN PALM KERNEL,16580.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,5000
TBS Periode 05 Januari 2021,16797.0,service,Maintenance/Repair Service,0.8,The text mentions 'TBS Periode' which is a maintenance and repair service for oil palm trees.,1
CRUDE PALM OIL,16880.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
BIAYA HANDLING CPO,16999.36914,service,Transport service,0.8,BIAYA HANDLING CPO is a transportation service for palm oil products.,1
PALM KERNEL KONTRAK NO 046SJMSXXXXXXX,17700.0,product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
Palm Kernel,17746.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
Ongkos Angkut TBS Div 3,18450.0,service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
PENJUALAN CRUDE PALM OIL,18500.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
Crude Palm Oil,18650.0,product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
Ongkos Angkut TBS DIV 4,18870.0,service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
PALM KERNEL,19080.0,product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
Palm Kernel,19169.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
Pembayaran Uang Muka CPOCrude Palm Oil Kontrak No005PSJXXXXXX,19250.0,service,Maintenance/Repair Service,0.8,Pembayaran uang muka CPO Crude Palm Oil Kontrak No005PSJXXXXXX is a service related to the maintenance and repair of palm oil processing equipment.,1
CRUDE PALM OIL,19540.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
PALM KERNEL,19620.0,product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
PALM KERNEL,19900.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
Palm Kernel,20100.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
Ongkos Angkut TBS DIV 2,20370.0,service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
PENJUALAN PALM KERNEL,20780.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,100
Palm Kernel,20860.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
PKPalm Kernel NoKontrak 118PMXXXXXX,21050.0,service,Maintenance/Repair Service,0.9,The product is a service related to the maintenance and repair of palm kernel processing machines.,1
Palm Kernel,21060.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
TBS PERIODE 23 JULI 2021,21148.90039,service,Maintenance/Repair Service,0.8,The text mentions 'TBS PERIODE' which is a service provider for palm oil processing.,1
CRUDE PALM OIL,21250.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
Pembayaran Uang Muka CPOCrude Palm Oil Kontrak No040PSJXXXXX,21630.0,service,Maintenance/Repair Service,0.8,The text mentions 'Pembayaran Uang Muka' which is a payment service for palm oil contracts.,1
Palm Kernel,21634.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
CPO Crude Palm Oil Kontrak 038CPOIMTXXXXXX,21690.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
CRUDE PALM OIL ,22000.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
Ongkos Angkut TBS DIV 1,22060.0,service,Transport service,0.9,Ongkos Angkut is a transportation service provider for oil palm fruit,1
Ongkos Angkut TBS Div 5,22290.0,service,Transport service,1.0,Ongkos Angkut is a transportation service provider.,0
TBS PERIODE 15 OKTOBER 2021,22795.59961,service,Maintenance/Repair Service,0.8,"The text mentions 'TBS PERIODE 15 OKTOBER 2021', which suggests that the product is related to maintenance or repair services for palm oil processing equipment.",1
CRUDE PALM OIL,23360.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
Palm Kernel,23436.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
Palm Kernel,23559.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
Ongkos Angkut TBS DIV 2,23590.0,service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
Palm Kernel,23701.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
CPOCrude Palm Oil NoKontrak 063PMXXXX,23940.0,product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
Palm Kernel Oil,24390.0,product,Primary,1.0,Palm kernel oil is a primary product of the oil palm fruit.,0
CRUDE PALM OIL,24560.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
PENJUALAN PALM KERNEL,24800.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,5000
TBS PER 0115 JUN 2021 TT 2008,24871.0,product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,2008
PALM KERNEL,25020.0,product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
PALM KERNEL,25040.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
TBS TLJX JLYM Bulan Juni 2021 Tahun Tanam 2008,25179.0,service,Maintenance/Repair Service,0.9,The text mentions 'Bulan Juni 2021' which indicates that the service is related to maintenance or repair of palm oil trees in June 2021.,1
PENJUALAN CPO  043SRMXXXXXX2021 ,25340.0,product,Primary,1.0,PENJUALAN CPO is a product of palm oil fruit.,0
PALM KERNEL,25530.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
TBS PERIODE 31 JANUARI 2021,25781.0,service,Maintenance/Repair Service,0.8,The text mentions 'TBS PERIODE' which is a service provider for palm oil processing.,1
TBS PERIODE 12  13 APRIL 2021,25802.0,service,Maintenance/Repair Service,0.8,TBS PERIODE 12 is a maintenance and repair service for oil palm trees.,0
PK Palm Kernel Kontrak 015PKIMTLILXXXXXXX,25810.0,service,Maintenance/Repair Service,0.8,The text mentions 'Kontrak' which implies a service contract or agreement for maintenance and repair of palm kernel processing equipment.,1
Palm Kernel,25820.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
CRUDE PALM OIL,26130.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
Palm Kernel,26907.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
CRUDE PALM OIL,27000.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
PK Palm Kernel,27050.0,product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
PENJUALAN CRUDE PALM OIL,27210.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,5000.0
CPO Crude Palm Oil Kontrak 042CPOIMTLILX2021,27280.0,product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
PALM KERNEL,27650.0,product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
PENJUALAN CRUDE PALM OIL,27900.0,product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,5000
